1904,00.04,01.50,02.17,00.15,00.12,00.00,00.00,00.00,00.00,00.17,00.00,02.46
1905,02.16,05.90,02.98,00.30,00.35,00.00,00.16,00.00,00.50,00.25,03.38,00.38
1906,00.98,02.62,04.68,00.98,00.72,00.03,00.00,00.10,00.12,00.03,00.62,04.02
1907,03.27,00.45,01.62,00.13,00.07,00.19,00.03,00.00,00.00,01.71,00.05,00.43
1908,02.80,02.41,00.61,00.35,00.16,00.00,00.00,00.64,00.20,00.15,01.00,00.27
1909,03.57,01.76,02.62,00.02,00.00,00.00,00.00,00.00,00.02,00.00,02.39,03.76
1910,02.00,00.19,01.30,00.08,00.05,00.00,00.01,00.05,00.17,01.35,00.40,00.15
1911,03.35,04.92,00.92,00.65,00.01,00.01,00.12,00.00,00.10,00.28,00.02,01.39
1912,00.66,00.00,05.72,02.13,00.17,00.16,00.14,00.26,00.00,00.89,00.40,00.03
1913,01.19,02.40,00.42,00.08,00.07,00.09,00.06,00.02,00.02,00.00,02.23,00.72
1914,03.59,01.90,00.36,00.85,00.08,00.00,00.00,00.00,00.00,01.05,00.86,02.21
1915,04.91,03.62,00.33,01.15,00.28,00.00,00.00,00.00,00.00,00.00,00.73,02.60
1916,07.56,00.66,00.98,00.01,00.01,00.00,00.02,00.01,00.25,00.87,00.05,01.14
1917,04.32,01.84,00.26,01.06,00.31,00.00,00.00,00.00,00.00,00.17,00.08,00.00
1918,01.64,01.52,04.57,00.00,00.00,00.06,00.00,00.11,00.08,00.42,01.91,00.00
1919,00.61,01.46,01.83,00.30,00.34,00.00,00.00,00.01,00.26,01.04,00.43,00.48
1920,00.43,02.87,02.46,00.47,00.44,00.02,00.00,00.01,00.08,00.18,00.19,00.54
1921,02.02,00.35,01.13,00.04,02.54,00.00,00.00,00.00,01.24,00.67,00.30,09.26
1922,03.45,01.86,01.34,00.17,00.36,00.00,00.01,00.00,00.00,00.09,00.75,01.21
1923,01.34,01.53,00.34,01.05,00.00,00.04,00.01,00.00,00.03,00.37,00.16,01.65
1924,00.26,00.00,02.41,00.77,00.00,00.00,00.00,00.00,00.00,00.35,00.55,01.34
1925,00.08,00.30,01.78,01.11,00.15,00.15,00.00,00.01,00.00,03.67,01.16,01.50
1926,00.78,02.33,00.82,05.37,00.01,00.01,00.00,00.05,00.00,00.21,00.59,03.89
1927,00.32,06.68,02.05,00.71,00.12,00.12,00.00,00.01,00.04,01.76,00.05,04.57
1928,00.21,00.79,00.69,00.14,00.36,00.09,00.00,00.03,00.00,00.14,00.63,02.42
1929,00.90,01.14,01.22,00.57,00.05,00.00,00.00,00.00,00.26,00.00,00.00,00.00
1930,03.90,00.66,03.02,01.06,01.81,00.02,00.00,00.00,00.00,00.22,01.04,00.00
1931,03.72,04.11,00.06,01.38,00.24,00.01,00.00,00.08,00.00,00.05,01.95,03.56
